batch_column,batch_level_count,cell_count,control_cells_in_dataset,dataset_id,failures,is_control,perturbation_id,status,warnings
,,112,7627,adamson,,False,*,warn,batch/replicate confounding cannot be assessed
,,2,7627,adamson,cell count below threshold: 2 < 50,False,62(mod)_pBA581,fail,batch/replicate confounding cannot be assessed
,,466,7627,adamson,,False,AARS_pDS381,warn,batch/replicate confounding cannot be assessed
,,750,7627,adamson,,False,AMIGO3_pDS434,warn,batch/replicate confounding cannot be assessed
,,513,7627,adamson,,False,ARHGAP22_pDS458,warn,batch/replicate confounding cannot be assessed
,,639,7627,adamson,,False,ASCC3_pDS051,warn,batch/replicate confounding cannot be assessed
,,1185,7627,adamson,,False,ASCC3_pDS052,warn,batch/replicate confounding cannot be assessed
,,6,7627,adamson,cell count below threshold: 6 < 50,False,ATF4_pBA576,fail,batch/replicate confounding cannot be assessed
,,23,7627,adamson,cell count below threshold: 23 < 50,False,ATF4_pBA577,fail,batch/replicate confounding cannot be assessed
,,353,7627,adamson,,False,ATF4_pBA608,warn,batch/replicate confounding cannot be assessed
,,11,7627,adamson,cell count below threshold: 11 < 50,False,ATF6_pBA586,fail,batch/replicate confounding cannot be assessed
,,670,7627,adamson,,False,ATP5B_pDS055,warn,batch/replicate confounding cannot be assessed
,,14,7627,adamson,cell count below threshold: 14 < 50,False,C7orf26_pDS004,fail,batch/replicate confounding cannot be assessed
,,295,7627,adamson,,False,CAD_pDS468,warn,batch/replicate confounding cannot be assessed
,,522,7627,adamson,,False,CARS_pDS460,warn,batch/replicate confounding cannot be assessed
,,19,7627,adamson,cell count below threshold: 19 < 50,False,CCND3_pDS005,fail,batch/replicate confounding cannot be assessed
,,393,7627,adamson,,False,CCND3_pDS006,warn,batch/replicate confounding cannot be assessed
,,497,7627,adamson,,False,CHERP_pDS024,warn,batch/replicate confounding cannot be assessed
,,235,7627,adamson,,False,COPB1_pDS065,warn,batch/replicate confounding cannot be assessed
,,291,7627,adamson,,False,COPZ1_pDS462,warn,batch/replicate confounding cannot be assessed
,,774,7627,adamson,,False,DAD1_pDS499,warn,batch/replicate confounding cannot be assessed
,,689,7627,adamson,,False,DARS_pDS495,warn,batch/replicate confounding cannot be assessed
,,398,7627,adamson,,False,DDOST_pDS382,warn,batch/replicate confounding cannot be assessed
,,633,7627,adamson,,False,DDRGK1_pDS041,warn,batch/replicate confounding cannot be assessed
,,676,7627,adamson,,False,DERL2_pDS042,warn,batch/replicate confounding cannot be assessed
,,526,7627,adamson,,False,DHDDS_pDS383,warn,batch/replicate confounding cannot be assessed
,,1042,7627,adamson,,False,DNAJC19_pDS026,warn,batch/replicate confounding cannot be assessed
,,546,7627,adamson,,False,DNAJC19_pDS074,warn,batch/replicate confounding cannot be assessed
,,152,7627,adamson,,False,EIF2AK3_pBA572,warn,batch/replicate confounding cannot be assessed
,,21,7627,adamson,cell count below threshold: 21 < 50,False,EIF2AK3_pBA573,fail,batch/replicate confounding cannot be assessed
,,638,7627,adamson,,False,EIF2B2_pDS463,warn,batch/replicate confounding cannot be assessed
,,427,7627,adamson,,False,EIF2B3_pDS508,warn,batch/replicate confounding cannot be assessed
,,654,7627,adamson,,False,EIF2B4_pDS491,warn,batch/replicate confounding cannot be assessed
,,534,7627,adamson,,False,EIF2S1_pDS386,warn,batch/replicate confounding cannot be assessed
,,42,7627,adamson,cell count below threshold: 42 < 50,False,ERN1_pBA574,fail,batch/replicate confounding cannot be assessed
,,46,7627,adamson,cell count below threshold: 46 < 50,False,ERN1_pBA575,fail,batch/replicate confounding cannot be assessed
,,655,7627,adamson,,False,FARSB_pDS390,warn,batch/replicate confounding cannot be assessed
,,702,7627,adamson,,False,FECH_pDS494,warn,batch/replicate confounding cannot be assessed
,,797,7627,adamson,,False,GBF1_pDS043,warn,batch/replicate confounding cannot be assessed
,,215,7627,adamson,,False,GBF1_pDS044,warn,batch/replicate confounding cannot be assessed
,,634,7627,adamson,,False,GMPPB_pDS391,warn,batch/replicate confounding cannot be assessed
,,514,7627,adamson,,False,GNPNAT1_pDS506,warn,batch/replicate confounding cannot be assessed
,,340,7627,adamson,,False,HARS_pDS466,warn,batch/replicate confounding cannot be assessed
,,421,7627,adamson,,False,HSD17B12_pDS087,warn,batch/replicate confounding cannot be assessed
,,929,7627,adamson,,False,HSPA5_pDS017,warn,batch/replicate confounding cannot be assessed
,,313,7627,adamson,,False,HSPA5_pDS371,warn,batch/replicate confounding cannot be assessed
,,926,7627,adamson,,False,HSPA9_pDS088,warn,batch/replicate confounding cannot be assessed
,,514,7627,adamson,,False,HYOU1_pDS089,warn,batch/replicate confounding cannot be assessed
,,450,7627,adamson,,False,IARS2_pDS090,warn,batch/replicate confounding cannot be assessed
,,692,7627,adamson,,False,IARS2_pDS091,warn,batch/replicate confounding cannot be assessed
,,690,7627,adamson,,False,IDH3A_pDS393,warn,batch/replicate confounding cannot be assessed
,,1276,7627,adamson,,False,IER3IP1_pDS002,warn,batch/replicate confounding cannot be assessed
,,32,7627,adamson,cell count below threshold: 32 < 50,False,IER3IP1_pDS003,fail,batch/replicate confounding cannot be assessed
,,604,7627,adamson,,False,IER3IP1_pDS110,warn,batch/replicate confounding cannot be assessed
,,480,7627,adamson,,False,KCTD16_pDS096,warn,batch/replicate confounding cannot be assessed
,,578,7627,adamson,,False,MANF_pDS027,warn,batch/replicate confounding cannot be assessed
,,543,7627,adamson,,False,MARS_pDS394,warn,batch/replicate confounding cannot be assessed
,,586,7627,adamson,,False,MRGBP_pDS124,warn,batch/replicate confounding cannot be assessed
,,712,7627,adamson,,False,MRPL39_pDS498,warn,batch/replicate confounding cannot be assessed
,,540,7627,adamson,,False,MTHFD1_pDS395,warn,batch/replicate confounding cannot be assessed
,,518,7627,adamson,,False,NEDD8_pDS396,warn,batch/replicate confounding cannot be assessed
,,669,7627,adamson,,False,OST4_pDS353,warn,batch/replicate confounding cannot be assessed
,,578,7627,adamson,,False,P4HB_pDS397,warn,batch/replicate confounding cannot be assessed
,,618,7627,adamson,,False,PDIA6_pDS029,warn,batch/replicate confounding cannot be assessed
,,241,7627,adamson,,False,PPWD1_pDS398,warn,batch/replicate confounding cannot be assessed
,,30,7627,adamson,cell count below threshold: 30 < 50,False,PSMA1_pDS007,fail,batch/replicate confounding cannot be assessed
,,52,7627,adamson,,False,PSMD12_pDS008,warn,batch/replicate confounding cannot be assessed
,,11,7627,adamson,cell count below threshold: 11 < 50,False,PSMD12_pDS009,fail,batch/replicate confounding cannot be assessed
,,639,7627,adamson,,False,PSMD4_pDS488,warn,batch/replicate confounding cannot be assessed
,,557,7627,adamson,,False,PTDSS1_pDS478,warn,batch/replicate confounding cannot be assessed
,,390,7627,adamson,,False,QARS_pDS510,warn,batch/replicate confounding cannot be assessed
,,838,7627,adamson,,False,SAMM50_pDS156,warn,batch/replicate confounding cannot be assessed
,,484,7627,adamson,,False,SARS_pDS467,warn,batch/replicate confounding cannot be assessed
,,580,7627,adamson,,False,SCYL1_pDS159,warn,batch/replicate confounding cannot be assessed
,,688,7627,adamson,,False,SCYL1_pDS160,warn,batch/replicate confounding cannot be assessed
,,470,7627,adamson,,False,SEC61A1_pDS031,warn,batch/replicate confounding cannot be assessed
,,758,7627,adamson,,False,SEC61A1_pDS032,warn,batch/replicate confounding cannot be assessed
,,1247,7627,adamson,,False,SEC61B_pDS033,warn,batch/replicate confounding cannot be assessed
,,513,7627,adamson,,False,SEC61B_pDS162,warn,batch/replicate confounding cannot be assessed
,,674,7627,adamson,,False,SEC61G_pDS440,warn,batch/replicate confounding cannot be assessed
,,684,7627,adamson,,False,SEC63_pDS218,warn,batch/replicate confounding cannot be assessed
,,464,7627,adamson,,False,SEL1L_pDS373,warn,batch/replicate confounding cannot be assessed
,,644,7627,adamson,,False,SLC35B1_pDS046,warn,batch/replicate confounding cannot be assessed
,,626,7627,adamson,,False,SLC39A7_pDS219,warn,batch/replicate confounding cannot be assessed
,,659,7627,adamson,,False,SLMO2_pDS433,warn,batch/replicate confounding cannot be assessed
,,462,7627,adamson,,False,SOCS1_pDS479,warn,batch/replicate confounding cannot be assessed
,,612,7627,adamson,,False,SPCS2_pDS401,warn,batch/replicate confounding cannot be assessed
,,672,7627,adamson,,False,SPCS3_pDS402,warn,batch/replicate confounding cannot be assessed
,,729,7627,adamson,,False,SRP68_pDS403,warn,batch/replicate confounding cannot be assessed
,,541,7627,adamson,,False,SRP72_pDS505,warn,batch/replicate confounding cannot be assessed
,,732,7627,adamson,,False,SRPRB_pDS404,warn,batch/replicate confounding cannot be assessed
,,617,7627,adamson,,False,SRPR_pDS482,warn,batch/replicate confounding cannot be assessed
